product_id,category_id,supplier_id,product_name,sku,size,color,unit_price,stock_quantity,reorder_level,created_at
1,1,1,Womens Pants,GIQ-0001,XL,Black,$66.33,74,16,2023-12-08
2,1,3,Womens Pants,GIQ-0002,M,Navy,$56.82,88,8,2023-01-04
3,1,2,Womens Pants,GIQ-0003,M,White,$67.06,3,12,2023-05-29
4,1,3,Womens Pants,GIQ-0004,S,Black,$59.80,67,10,2023-03-08
5,1,4,Womens Pants,GIQ-0005,S,White,$76.30,83,18,2024-02-17
6,1,3,Womens Pants,GIQ-0006,S,Navy,$57.88,17,14,2023-01-10
7,1,4,Womens Pants,GIQ-0007,M,Black,$91.85,85,14,2023-10-21
8,1,4,Womens Pants,GIQ-0008,L,Navy,$83.38,26,14,2023-01-11
9,2,5,Womens Shirts,GIQ-0009,M,White,$47.75,55,11,2023-06-20
10,2,2,Womens Shirts,GIQ-0010,XL,White,$47.67,79,16,2023-04-10
11,2,3,Womens Shirts,GIQ-0011,L,Navy,$57.29,30,11,2023-02-22
12,2,2,Womens Shirts,GIQ-0012,S,White,$53.96,3,9,2023-04-01
13,2,4,Womens Shirts,GIQ-0013,L,Black,$61.24,86,15,2023-12-15
14,2,5,Womens Shirts,GIQ-0014,M,Black,$67.50,53,18,2023-06-11
15,2,2,Womens Shirts,GIQ-0015,S,Black,$60.39,50,12,2023-10-30
16,2,1,Womens Shirts,GIQ-0016,XL,Navy,$57.32,0,15,2023-08-20
17,3,4,Womens Office Wear One Piece,GIQ-0017,M,Black,$99.02,17,15,2024-04-10
18,3,5,Womens Office Wear One Piece,GIQ-0018,S,White,$102.59,72,16,2023-03-19
19,3,1,Womens Office Wear One Piece,GIQ-0019,M,Navy,$92.53,55,9,2023-09-16
20,3,2,Womens Office Wear One Piece,GIQ-0020,M,White,$71.96,68,16,2023-09-25
21,3,5,Womens Office Wear One Piece,GIQ-0021,L,White,$77.94,48,14,2023-07-29
22,3,3,Womens Office Wear One Piece,GIQ-0022,L,Black,$103.94,0,13,2023-02-03
23,4,3,Womens Top,GIQ-0023,L,Blue,$32.45,56,12,2024-05-10
